subject,organ,iou,pred_iou_HistGB,pred_iou_RandomForest
s0316,adrenal_gland_left,0.4225,0.672155490861274,0.5322539636243385
s0316,adrenal_gland_right,0.7915,0.5011670651347503,0.47042904814814845
s0316,aorta,0.8459,0.7360646041805275,0.7496393630952388
s0316,autochthon_left,0.9065,0.9089511234180712,0.9211426619047615
s0316,autochthon_right,0.8492,0.883000386275438,0.8910196630952377
s0316,colon,0.583,0.6070852109836948,0.5840671035714284
s0316,duodenum,0.7838,0.7521432726569062,0.6963660724867724
s0316,esophagus,0.7201,0.5373621716342847,0.4401406416666664
s0316,gallbladder,0.0,0.0,0.058178417857142894
s0316,gluteus_medius_left,0.2542,0.7516646748852155,0.7096250067460317
s0316,gluteus_medius_right,0.1145,0.4097030164486704,0.2910376902116404
s0316,gluteus_minimus_right,0.1169,0.4294618595986372,0.42011822592592607
s0316,heart,0.8022,0.8608528982198297,0.8533467202380949
s0316,hip_left,0.5888,0.8057590055530379,0.7746886142857146
s0316,hip_right,0.6442,0.8534987887453033,0.7834636825396831
s0316,iliac_artery_left,0.6371,0.5461163988008594,0.4812988297619051
s0316,iliac_artery_right,0.662,0.4867911901742986,0.49710922896825394
s0316,iliac_vena_left,0.0,0.1803728762207132,0.1507962447089947
s0316,iliac_vena_right,0.3625,0.26291032463995073,0.2729880339947093
s0316,iliopsoas_left,0.8199,0.854059369782092,0.8527568832732086
s0316,iliopsoas_right,0.774,0.9179629018911292,0.8641318764550259
s0316,inferior_vena_cava,0.852,0.8012594269464923,0.7715797009259262
s0316,intervertebral_discs,0.7281,0.8146871840150754,0.746607548148148
s0316,kidney_left,0.9084,0.8411511016022939,0.8856917115079364
s0316,kidney_right,0.3709,0.876157611115552,0.8561483650793649
s0316,liver,0.8384,0.9051057333876212,0.9007887076719576
s0316,lung_left,0.9289,0.9610775993570158,0.9492280107142851
s0316,lung_right,0.9256,0.9648435552988642,0.9397781083333329
s0316,pancreas,0.5585,0.7184050700574177,0.7005727806878311
s0316,portal_vein_and_splenic_vein,0.6446,0.5758109663801806,0.5660781623015871
s0316,sacrum,0.7512,0.7660878698882566,0.7564399767195765
s0316,small_bowel,0.7881,0.6750454592289059,0.6705667742063487
s0316,spinal_cord,0.8043,0.8390559185731342,0.7875434944444445
s0316,spleen,0.8617,0.8596659303078434,0.8942023015873012
s0316,stomach,0.8425,0.7946554159085635,0.7248444980158737
s0316,urinary_bladder,0.0997,0.4257472222995638,0.4343877201058203
s0316,vertebrae,0.8383,0.8646355155948225,0.8276011686507939
s0142,aorta,0.1449,0.7575710102269677,0.7209202310337816
s0142,autochthon_left,0.4409,0.5699677390825627,0.6569239186507936
s0142,autochthon_right,0.3716,0.39834784895825864,0.5211450074074075
s0142,clavicula_left,0.0,0.11990817558126002,0.13676389999999997
